PR,URL,HTTP status code,Content type,Is indexable page,Title,Title length,Meta description,Meta description length,H1,H1 length,Meta robots,Robots information in HTTP headers,Canonical URL,Canonical URL code,Size (bytes),No. of content words,Depth,No. of href inlinks,No. of inlinks dofollow,No. of internal outlinks,No. of external outlinks,Loading time (ms),Redirect URL,Redirect URL code,Final redirect URL,Final redirect URL code,Organic traffic,No. of backlinks,No. of dofollow backlinks,No. of nofollow backlinks,No. of referring domains,No. of referring pages
39,https://www.newyorkspecialed.net/,200,text/html; charset=utf-8,true,NY Special Education Rights & CSE Guide | newyorkspecialed.net,62,"The comprehensive parent guide to New York Special Education. Navigate the Committee on Special Education (CSE), evaluations, and IEPs in NYC and NY State.",155,Demystifying New York Special Education,39,,,https://www.newyorkspecialed.net/,200,8195,931,0,512,512,89,0,43,,,,,0,0,0,0,0,0
39,https://www.newyorkspecialed.net/resources/,200,text/html; charset=utf-8,true,NY Parent Resources | newyorkspecialed.net,42,,,"NY Parent Resources
Navigating New York Special Education: Your Essential Resource Hub","19
66",,,https://www.newyorkspecialed.net/resources/,200,5111,834,0,512,512,34,0,54,,,,,0,0,0,0,0,0
39,https://www.newyorkspecialed.net/districts/,200,text/html; charset=utf-8,true,New York School Districts Directory | NY Special Education,58,"Find special education resources, CSE guides, and parent support for every major New York school district.",106,New York Districts Directory,28,,,https://www.newyorkspecialed.net/districts/,200,5637,349,0,512,512,35,0,93,,,,,0,0,0,0,0,0
39,https://www.newyorkspecialed.net/guides/,200,text/html; charset=utf-8,true,Special Education Guides | NY Special Ed,40,,,NY Special Education Guides,27,,,https://www.newyorkspecialed.net/guides/,200,3558,310,0,512,512,32,0,42,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-07-south-bronx/special-ed-updates.html,200,text/html; charset=utf-8,true,District 7 Special Education: Essential Parent Intel & Updates,62,"Stay ahead of District 7 special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",140,District 7 Special Education: Parent Intel,42,,,https://www.newyorkspecialed.net/districts/nyc-district-07-south-bronx/special-ed-updates.html,200,6474,1193,1,8,8,40,0,47,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/freeport-ufsd/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in Freeport UFSD | NY Special Ed,70,"Navigating special education in Freeport UFSD can be complex. Learn about CSE meetings, IEPs, and find local advocates to support your child in Freeport, NY.",157,Special Education Providers in Freeport UFSD,44,,,https://www.newyorkspecialed.net/districts/freeport-ufsd/partners.html,200,5283,813,1,8,8,40,9,47,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/syracuse-city-sd/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in Syracuse City SD | NY Special Ed,73,"Need help navigating special education in Syracuse City SD? Learn about CSE meetings, evaluations, and your rights. Connect with local advocates in Syracuse.",157,Special Education Providers in Syracuse City SD,47,,,https://www.newyorkspecialed.net/districts/syracuse-city-sd/partners.html,200,5301,815,1,9,9,40,9,158,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-05-central-harlem/special-ed-updates.html,200,text/html; charset=utf-8,true,District 5 Special Education: Essential Parent Intel & Updates,62,"Stay ahead of District 5 special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",140,District 5 Special Education: Parent Intel,42,,,https://www.newyorkspecialed.net/districts/nyc-district-05-central-harlem/special-ed-updates.html,200,6338,1191,1,9,9,40,0,147,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/freeport-ufsd/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for Freeport UFSD,35,"Prepare for your Committee on Special Education meeting in Freeport UFSD. Tips for Bilingual community, inclusion programs, CSE process.",136,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/freeport-ufsd/cse-meeting-guide.html,200,9633,2627,0,8,8,39,0,48,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-04-east-harlem/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 4,38,"Direct phone numbers and emails for District 4 Committee on Special Education (CSE), CPSE, and leadership offices.",114,,,,,https://www.newyorkspecialed.net/districts/nyc-district-04-east-harlem/leadership-directory.html,200,6553,1728,0,9,9,39,0,77,,,,,0,0,0,0,0,0
